,Date,Low,High,Close,Open
389,1999-01-11,167.6,185.0,184.6,184.0
388,2007-08-03,76.71,80.75,76.7999,79.54
387,2000-08-30,42.0,43.97,42.94,42.38
386,2007-02-23,40.74,41.2,40.78,41.0
385,2018-01-11,1256.46,1276.77,1276.68,1259.74
384,2015-05-07,422.85,428.5,426.88,424.15
383,2016-04-18,624.9603,637.64,635.35,625.35
382,2015-12-10,659.56,668.526,662.32,665.59
381,2007-03-12,38.38,39.05,38.81,38.64
380,2013-09-30,311.06,315.31,312.64,313.41
379,1998-09-16,71.5,85.94,84.5,74.25
378,2013-02-11,256.6,263.25,257.21,263.2
377,2012-12-19,257.68,261.6699,257.99,261.3
376,2002-04-17,14.24,15.0,14.82,14.24
375,2003-01-22,20.75,21.7,21.17,20.77
374,2001-08-08,11.03,11.55,11.11,11.51
373,2010-06-11,120.29,123.53,123.03,121.39
372,2005-04-15,33.02,34.0,33.02,33.96
371,2003-06-16,34.08,35.85,35.84,34.57
370,2001-03-29,10.0,11.03,10.0,10.57
369,2000-01-04,81.75,91.5,81.94,85.38
368,2001-05-01,15.8,17.0,16.89,15.9
367,2009-07-01,81.37,84.5,81.6,84.42
366,2003-06-23,35.03,35.86,35.58,35.48
365,2003-04-09,24.84,26.37,25.06,26.351
364,2015-05-06,414.55,422.7165,419.1,421.43
363,2006-09-26,31.8,32.59,32.5,31.89
362,1999-03-02,121.1,135.8,121.3,134.4
361,2011-07-01,203.61,210.27,209.49,205.55
360,2013-10-10,302.5901,306.7,305.174,304.63
359,2005-10-19,44.28,45.86,45.86,44.54
358,2018-07-18,1831.27,1858.88,1842.92,1848.0
357,2001-08-27,9.91,10.27,10.13,10.09
356,1999-05-21,125.8,132.0,128.6,130.8
355,2008-10-23,43.31,50.91,50.32,43.37
354,2002-03-18,14.14,15.28,15.01,14.15
353,2012-05-31,207.11,213.7878,212.91,209.48
352,2007-05-17,62.02,63.52,62.17,62.88
351,2016-06-01,718.22,726.43,719.44,720.9
350,2004-08-05,35.38,37.48,35.61,37.398
349,2017-11-16,1130.05,1138.16,1137.29,1130.16
348,2002-06-11,17.13,17.79,17.14,17.31
347,1999-11-30,83.81,88.88,85.06,88.27
346,2012-11-30,248.27,252.65,252.05,250.38
345,2016-01-08,606.0,624.14,607.05,619.66
344,2005-02-15,35.75,36.45,36.14,36.21
343,2015-11-18,646.37,664.88,663.54,646.51
342,2007-11-29,88.68,91.47,89.15,89.89
341,1997-12-10,52.75,55.5,54.13,55.0
340,2001-03-01,9.594,10.69,10.44,9.875
339,2001-03-21,10.0,10.44,10.0,10.38
338,2003-03-28,27.1,27.95,27.18,27.59
337,2002-07-15,15.0,15.98,15.94,15.47
336,2007-12-05,91.98,94.99,93.19,94.99
335,2009-11-23,131.0,133.0,133.0,131.05
334,2016-11-02,763.55,784.75,765.56,783.93
333,2016-07-20,740.7,746.25,745.72,744.0
332,2018-04-20,1516.09,1561.2,1527.49,1561.2
331,2018-05-17,1573.0,1594.04,1581.76,1580.56
330,2003-04-22,24.82,25.69,25.58,25.09
329,2010-03-18,130.44,132.85,132.76,131.02
328,2005-12-15,49.05,49.95,49.48,49.5
327,2004-04-08,47.0,48.15,48.1,47.83
326,2016-01-15,565.3,584.62,570.18,572.24
325,2009-09-04,77.63,79.78,78.87,78.27
324,2014-03-26,343.4,357.6,343.41,357.13
323,1999-08-24,115.9,125.5,123.1,116.0
322,2018-05-30,1612.93,1626.0,1624.89,1618.1
321,2018-04-05,1427.07,1459.56,1451.75,1441.99
320,2000-04-18,47.13,56.25,54.94,47.63
319,2002-05-01,16.42,17.05,16.49,16.55
318,2003-04-28,28.6,29.19,29.11,28.64
317,2015-12-03,661.48,682.79,666.25,679.44
316,2012-03-29,200.63,205.31,204.61,201.28
315,2002-02-20,12.15,13.4,12.96,13.4
314,1999-12-21,96.56,100.4,99.88,96.56
313,2014-12-17,293.03,299.67,298.88,296.37
312,2000-08-09,30.38,32.38,30.88,32.38
311,2013-05-10,260.21,263.65,263.63,260.88
310,2004-06-14,49.04,49.99,49.25,49.36
309,2004-07-08,48.47,49.97,49.5,48.52
308,2007-04-23,44.16,44.81,44.77,44.27
307,2005-06-08,34.8,35.48,34.83,35.4
306,1999-04-16,180.7,191.5,190.0,184.0
305,2017-05-18,944.76,962.75,958.49,944.8
304,2010-08-03,119.68,122.87,122.42,120.0
303,2006-10-16,32.55,33.2,32.6,32.85
302,2012-07-10,218.28,227.14,219.5,226.25
301,2002-07-02,13.0,14.16,13.32,13.6
300,2013-12-16,385.0,391.7,388.97,385.03
299,2002-04-09,13.56,14.59,13.6,14.07
298,2000-03-21,62.25,73.0,72.38,65.13
297,1999-06-17,109.6,119.1,112.9,111.6
296,2009-06-17,80.64,84.3,82.65,82.5
295,1999-11-03,65.0,68.5,65.81,68.19
294,2009-05-13,74.01,76.6503,74.19,76.25
293,2006-08-18,28.22,29.23,29.12,29.09
292,2011-11-15,214.26,220.3275,217.83,218.0
291,2004-03-01,42.58,43.48,42.97,42.88
290,2000-07-27,29.75,32.0,31.38,31.44
289,2010-06-29,106.01,116.48,108.61,116.26
288,2014-10-21,307.07,315.64,315.33,309.9
287,2017-11-01,1096.74,1108.97,1103.68,1105.4
286,2007-12-10,92.3,94.35,93.02,94.31
285,2008-10-29,54.52,59.79,56.89,55.53
284,2001-06-11,14.45,15.55,14.86,15.5
283,2007-06-20,69.05,70.5,69.1,70.25
282,1998-05-15,89.5,92.5,89.63,91.88
281,1998-02-17,60.88,62.63,61.75,62.63
280,2000-10-05,32.0,36.63,33.56,35.19
279,2005-02-08,35.53,36.52,36.3,35.54
278,2005-09-09,42.81,43.2,42.95,42.99
277,2000-01-11,65.0,70.0,66.75,66.88
276,2000-10-23,27.63,30.38,30.0,29.69
275,2015-07-13,447.54,457.87,455.57,448.29
274,2016-11-11,728.9,743.26,739.01,735.73
273,2008-02-13,73.27,78.85,77.73,74.98
272,2006-11-16,42.4,42.95,42.84,42.445
271,2013-06-03,262.95,269.11,266.88,268.96
270,1997-05-15,23.13,30.0,23.5,29.25
269,2016-02-16,511.66,524.45,521.1,519.48
268,2010-05-07,123.76,131.18,124.98,127.97
267,2012-10-24,227.9501,235.94,228.49,235.88
266,2001-02-13,13.75,15.06,13.75,15.0
265,2012-04-24,186.51,190.7,190.33,188.68
264,2000-11-27,27.0,30.75,28.0,29.75
263,2009-03-31,72.12,74.5,73.44,72.61
262,2012-06-01,207.3,211.23,208.22,208.44
261,2011-03-11,164.12,169.2,168.07,165.5
260,2014-12-09,301.14,313.639,312.5,302.99
259,2016-12-05,742.0,761.49,759.36,745.0
258,2004-10-11,39.41,40.75,40.15,39.82
257,2005-02-28,34.665,35.66,35.18,34.68
256,1998-09-18,77.69,81.19,79.69,77.75
255,1999-08-09,84.56,98.0,85.5,91.38
254,2014-04-04,315.61,335.44,323.0,335.15
253,2018-06-05,1670.06,1699.0,1696.35,1672.99
252,1998-06-24,89.13,100.8,99.81,95.0
251,2010-01-19,124.33,128.0,127.61,126.2
250,2005-05-09,34.25,34.8,34.64,34.4
249,2001-03-14,10.13,10.94,10.63,10.25
248,2015-08-20,515.77,533.25,515.78,530.39
247,2011-02-28,172.15,175.89,173.29,173.91
246,2014-06-10,327.5,335.5,332.41,327.65
245,2012-07-20,225.295,229.39,228.29,225.36
244,2018-03-14,1590.89,1606.44,1591.0,1597.0
243,2010-04-14,139.2,144.5,144.28,140.34
242,2002-05-23,18.61,19.55,19.45,18.84
241,2003-05-09,30.2,30.99,30.965,30.46
240,2016-05-16,700.28,713.25,710.66,710.13
239,2014-02-26,357.17,364.75,359.8,359.86
238,2015-01-15,286.815,295.9995,286.95,294.0
237,2014-12-29,306.58,314.27,312.04,307.85
236,2015-04-21,386.8,394.6,391.18,391.31
235,2006-07-11,35.01,35.92,35.66,35.74
234,2000-12-20,15.63,17.88,16.69,16.19
233,2008-12-24,51.01,51.95,51.44,51.66
232,2009-11-11,128.33,131.31,129.91,131.08
231,2005-02-07,35.55,35.84,35.69,35.81
230,2015-07-16,464.8,475.88,475.48,465.5
229,1997-09-16,37.5,42.5,40.25,38.75
228,2007-06-05,70.86,74.24,73.65,71.1
227,2016-11-01,776.713,800.84,785.41,799.0
226,2006-06-14,33.08,33.99,33.68,33.5
225,2017-06-07,1002.0,1010.25,1010.07,1005.95
224,2018-01-18,1284.02,1304.6,1293.32,1293.95
223,2003-03-12,22.49,23.38,23.36,22.51
222,2017-02-24,837.7501,845.81,845.24,844.69
221,2018-05-16,1576.67,1594.43,1587.28,1577.5
220,2006-05-05,34.15,35.04,35.04,34.65
219,2016-03-08,554.74,571.35,560.26,557.87
218,2016-06-02,715.5001,728.28,728.24,720.97
217,2015-02-10,368.51,374.3,372.995,371.19
216,2016-01-12,612.2415,625.99,617.89,625.25
215,2009-11-12,129.98,132.15,130.53,129.98
214,2001-01-19,18.69,20.38,19.94,20.38
213,2002-07-26,12.5,13.11,12.93,12.72
212,2013-02-04,259.07,264.684,259.98,262.78
211,2003-12-16,48.63,49.8,49.5,49.6
210,2001-07-26,11.23,12.75,12.33,11.67
209,2008-11-28,42.22,44.1,42.7,44.03
208,2005-12-20,47.68,48.6,48.14,48.46
207,2003-05-22,31.29,33.299,33.0,31.75
206,2002-10-24,19.8,20.26,19.86,19.95
205,2006-09-14,31.18,31.87,31.65,31.54
204,2007-09-11,83.53,86.61,86.28,84.17
203,2017-03-15,847.11,854.45,852.97,854.33
202,2005-08-08,45.26,45.9,45.66,45.32
201,2005-03-01,34.82,35.41,35.39,35.06
200,1997-10-20,44.0,46.5,45.88,46.0
199,2001-09-21,6.69,7.72,7.48,7.72
198,2002-08-26,14.68,15.44,14.93,15.29
197,2013-11-18,364.67,373.49,366.18,370.28
196,2009-05-15,73.42,76.21,73.6,74.54
195,2008-06-20,80.51,83.46,81.1,81.13
194,2016-12-30,748.28,767.3999,749.87,766.47
193,2011-07-11,211.0,217.5,212.55,216.74
192,2016-01-05,627.65,646.91,633.79,646.86
191,2005-02-24,33.66,34.85,34.69,33.73
190,1999-09-14,62.75,66.44,66.0,62.75
189,2002-09-13,16.5,16.99,16.61,16.69
188,2001-12-13,10.85,11.8,10.89,11.54
187,2014-12-24,302.875,307.0,303.03,306.38
186,2003-04-14,24.5,25.15,25.05,24.8
185,2006-11-30,39.85,40.64,40.34,40.42
184,2009-02-26,62.34,64.73,62.34,64.12
183,2018-06-07,1676.11,1699.9,1689.3,1698.56
182,2003-11-19,47.67,49.85,49.53,48.71
181,2017-12-15,1169.33,1182.75,1179.14,1179.03
