,Date,Low,High,Close,Open
929,2015-12-08,103.95,106.91,106.49,104.0
928,2013-11-07,47.3,49.87,47.56,49.24
927,2013-06-14,23.26,23.89,23.63,23.56
926,2014-02-21,68.45,69.96,68.59,69.69
925,2014-01-22,57.1,59.31,57.51,58.85
924,2015-06-26,86.8283,88.34,88.01,88.12
923,2013-09-03,41.51,42.165,41.87,41.84
922,2018-06-26,196.23,199.1,199.0,197.6
921,2017-03-28,140.01,141.95,141.76,140.36
920,2016-02-01,112.01,115.72,115.09,112.27
919,2013-01-04,27.83,28.93,28.76,28.01
918,2015-09-16,92.63,93.6,93.45,92.9
917,2014-06-10,63.5,65.82,65.77,63.53
916,2016-02-26,107.16,109.45,107.92,108.7
915,2018-05-29,183.71,186.81,185.74,184.34
914,2018-03-01,174.41,180.12,175.94,179.01
913,2015-09-11,91.13,92.08,92.05,91.68
912,2016-04-08,109.9,114.33,110.63,114.25
911,2013-03-08,27.73,28.47,27.96,28.425
910,2018-04-11,163.25,168.65,166.32,165.36
909,2013-11-25,44.04,46.65,44.82,46.36
908,2017-07-03,147.8,152.15,148.43,151.72
907,2014-12-02,75.04,75.91,75.46,75.33
906,2017-07-26,164.1,166.01,165.61,166.01
905,2013-07-01,24.62,25.0601,24.81,24.9694
904,2017-04-06,140.91,142.22,141.17,142.11
903,2013-06-19,24.1,25.19,24.309,24.2
902,2015-01-07,75.82,77.36,76.15,76.76
901,2018-03-14,181.85,184.25,184.19,182.6
900,2014-01-03,54.53,55.65,54.557,55.02
899,2012-06-13,27.1,28.1,27.27,27.66
898,2017-03-23,139.09,140.39,139.53,139.48
897,2016-10-04,127.5499,129.2765,128.19,129.17
896,2014-03-06,70.25,71.89,70.84,71.88
895,2018-01-11,187.38,188.4,187.77,188.4
894,2017-01-06,120.03,123.88,123.41,120.98
893,2014-02-20,65.727,70.11,69.63,67.73
892,2014-07-14,66.9,68.17,67.9,67.13
891,2013-08-14,36.62,37.55,36.65,36.83
890,2015-03-19,81.0,83.0,82.75,81.12
889,2013-04-17,26.39,27.2,26.625,26.65
888,2018-03-20,161.95,170.2,168.15,167.47
887,2013-03-05,27.21,28.18,27.52,27.88
886,2014-05-20,58.18,60.19,58.56,59.5
885,2013-09-11,43.11,45.09,45.04,43.39
884,2015-04-09,81.71,82.8,82.17,82.5
883,2016-12-16,119.27,121.5,119.87,120.9
882,2017-06-26,153.2,156.5,153.59,156.25
