,Date,Low,High,Close,Open
3169,2006-02-27,26.16,26.54,26.53,26.24
3168,2018-06-12,362.0,365.98,363.83,363.6
3167,2004-10-27,9.25,9.84,9.68,9.33
3166,2012-08-15,61.82,63.68,63.26,62.03
3165,2017-07-25,185.81,188.66,186.97,187.79
3164,2013-02-28,183.51,192.131,188.08,183.81
3163,2005-02-24,10.01,10.47,10.4,10.15
3162,2007-05-24,22.39,23.43,22.54,23.07
3161,2018-02-16,275.69,281.96,278.52,278.73
3160,2012-03-20,113.11,116.75,115.02,113.91
3159,2003-11-26,47.67,49.35,48.31,48.26
3158,2016-12-28,125.76,129.07,125.89,129.07
3157,2011-06-20,240.12,247.81,245.63,241.86
3156,2003-06-17,21.12,22.3,21.21,21.84
3155,2016-11-14,110.68,115.9,113.38,114.75
3154,2002-08-02,9.89,12.43,10.89,12.41
3153,2009-02-24,35.4,36.33,36.06,35.62
3152,2012-01-11,91.45,95.6,92.15,94.99
3151,2018-06-26,389.05,404.78,399.39,393.28
3150,2017-10-30,197.07,201.1,198.37,199.62
3149,2013-02-11,174.8,182.05,177.89,178.98
3148,2011-03-10,188.89,203.74,200.02,191.08
3147,2005-04-13,11.7,12.35,12.11,11.73
3146,2014-05-30,411.61,421.74,417.83,415.18
3145,2011-04-15,233.23,236.96,235.49,236.63
3144,2015-01-21,401.87,414.68,409.28,414.64
3143,2015-08-17,122.59,125.7,125.36,123.14
3142,2003-10-10,43.3,44.86,44.65,43.5
3141,2002-10-04,6.26,7.44,6.563,7.25
3140,2010-11-29,192.5,200.0,198.92,194.01
3139,2008-05-23,30.12,31.65,31.21,31.55
3138,2012-11-26,80.07,82.88,82.06,82.6
3137,2014-05-08,314.36,331.72,321.66,317.16
3136,2006-07-20,23.29,24.11,23.35,23.71
3135,2005-11-08,27.95,29.3,28.56,28.0
3134,2003-05-02,22.4,23.0,22.631,22.45
3133,2004-05-13,29.45,30.74,30.69,29.64
3132,2003-12-17,43.05,50.68,50.49,44.51
3131,2013-04-03,164.26,178.33,169.74,177.055
3130,2005-08-16,21.91,22.74,22.24,22.04
3129,2003-01-08,10.67,12.0,11.41,10.8
3128,2009-03-11,37.0,38.85,37.49,38.59
3127,2008-09-25,31.31,33.1,32.97,31.89
